points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
4,2.0142381246993588e-08,independent_subcell_probe,0.9999999847788881,0.9999999847788925,4.440892098500626e-15,0.9999998463134663,0.9999998463132032,2.631228568361621e-13
4,2.0150808146389268e-08,independent_subcell_probe,0.9999999850384793,0.9999999851174749,7.89955878488513e-11,0.9999998487489556,0.9999998494905055,7.415498215479488e-10
4,2.0159235045784947e-08,canonical_cell_edge,0.9999999852980705,0.9999999852980751,4.551914400963142e-15,0.9999998511875021,0.999999851187499,3.1086244689504383e-15
4,2.0167676059122954e-08,independent_subcell_probe,0.999999985541014,0.9999999854670931,7.392086942559217e-11,0.9999998534725282,0.99999985277677,6.957582288080744e-10
4,2.0176117072460958e-08,independent_subcell_probe,0.9999999857839573,0.9999999857839618,4.440892098500626e-15,0.9999998557604252,0.9999998557601776,2.475797344914099e-13
4,2.0184558085798965e-08,independent_subcell_probe,0.9999999860269008,0.9999999861008305,7.392975120978917e-11,0.9999998580511955,0.9999998587486818,6.974862909459034e-10
4,2.019299909913697e-08,canonical_cell_edge,0.9999999862698442,0.9999999862698485,4.3298697960381105e-15,0.9999998603448416,0.9999998603448383,3.219646771412954e-15
4,2.020145425005629e-08,independent_subcell_probe,0.999999986497175,0.9999999864280047,6.917033612552359e-11,0.9999998624937825,0.9999998618394601,6.543223740607118e-10
4,2.020990940097561e-08,independent_subcell_probe,0.9999999867245056,0.99999998672451,4.3298697960381105e-15,0.9999998646454232,0.9999998646451902,2.3303581286882036e-13
4,2.021836455189493e-08,independent_subcell_probe,0.9999999869518363,0.9999999870210151,6.917877382051074e-11,0.9999998667997664,0.9999998674557133,6.559469634126458e-10
4,2.022681970281425e-08,canonical_cell_edge,0.999999987179167,0.9999999871791713,4.218847493575595e-15,0.9999998689568138,0.9999998689568106,3.219646771412954e-15
4,2.0235289014993464e-08,independent_subcell_probe,0.999999987391858,0.9999999873271425,6.471556623921515e-11,0.9999998709774855,0.9999998703622189,6.152666154335407e-10
4,2.0243758327172678e-08,independent_subcell_probe,0.9999999876045491,0.9999999876045533,4.218847493575595e-15,0.9999998730006959,0.9999998730004765,2.1938006966593093e-13
4,2.025222763935189e-08,independent_subcell_probe,0.9999999878172401,0.9999999878819641,6.47240039342023e-11,0.9999998750264474,0.9999998756432411,6.167937272039126e-10
